RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Stre.pyog._CP000261                      	73        	5400.46   	-28.42    	-13.30    	-25.60    	-25.60    	-25.70    	0.81      	0.81      	0.81      	0.81      	0.83      	0.83      	0.83      	0.83      	0.81      	0.81      	0.81      	0.81      
srp_Stre.sang._CP000387                      	73        	3883.43   	-30.39    	-16.50    	-26.60    	-26.50    	-26.20    	0.68      	0.65      	0.80      	0.80      	0.68      	0.67      	0.81      	0.81      	0.68      	0.65      	0.80      	0.80      
srp_Stre.suis._CP000407                      	78        	5402.72   	-28.17    	-14.10    	-28.40    	-28.50    	-28.20    	0.68      	0.82      	0.68      	0.82      	0.70      	0.84      	0.70      	0.84      	0.68      	0.82      	0.68      	0.82      
srp_Stre.suis._CP000408                      	78        	5400.46   	-28.17    	-14.10    	-28.40    	-28.50    	-28.20    	0.68      	0.82      	0.68      	0.82      	0.70      	0.84      	0.70      	0.84      	0.68      	0.82      	0.68      	0.82      
srp_Stre.ther._CP000024                      	77        	5400.64   	-31.35    	-19.90    	-28.30    	-28.30    	-28.10    	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      
tRNA_tdbR00000001-Halobacterium_salinarum-2242-Ala-CGC	75        	5401.21   	-30.66    	-25.70    	-29.60    	-29.10    	-26.30    	0.67      	0.95      	0.71      	0.67      	0.69      	0.98      	0.74      	0.69      	0.67      	0.96      	0.71      	0.67      
tRNA_tdbR00000002-Haloferax_volcanii-2246-Ala-CGC	75        	4490.00   	-31.81    	-27.20    	-31.10    	-30.70    	-27.60    	0.67      	0.95      	0.67      	0.67      	0.69      	0.98      	0.69      	0.69      	0.67      	0.96      	0.67      	0.67      
tRNA_tdbR00000003-Haloferax_volcanii-2246-Ala-GGC	75        	5402.10   	-33.06    	-30.80    	-32.60    	-32.50    	-26.70    	0.49      	1.00      	0.71      	0.56      	0.51      	1.00      	0.71      	0.57      	0.49      	1.00      	0.71      	0.56      
tRNA_tdbR00000004-Haloferax_volcanii-2246-Ala-UGC	75        	5400.93   	-34.14    	-28.70    	-32.80    	-31.50    	-28.70    	0.95      	0.93      	0.95      	0.71      	0.98      	0.94      	0.98      	0.74      	0.96      	0.93      	0.96      	0.71      
tRNA_tdbR00000005-Mycoplasma_capricolum-2095-Ala-UGC	76        	5400.89   	-33.53    	-26.90    	-33.70    	-34.90    	-29.30    	0.68      	0.73      	0.29      	0.68      	0.70      	0.75      	0.32      	0.70      	0.68      	0.73      	0.29      	0.68      
